id,title
1,Algeria
2,Egypt
3,Morocco
4,Libya
5,Tunisia
6,Cape Verde
7,Gambia
8,Guinea
9,Guinea-Bissau
10,Liberia
11,Mali
12,Mauritania
13,Senegal
14,Sierra Leone
15,Benin
16,Burkina Faso
17,Côte d'Ivoire
18,Ghana
19,Niger
20,Nigeria
21,Togo
22,Cameroon
23,Central African Republic
24,Chad
25,Congo
26,Congo DR
27,Equatorial Guinea
28,Gabon
29,São Tomé and Príncipe
30,Burundi
31,Djibouti
32,Eritrea
33,Ethiopia
34,Kenya
35,Rwanda
36,Somalia
37,South Sudan
38,Sudan
39,Tanzania
40,Uganda
41,Zanzibar
42,Angola
43,Botswana
44,Comoros
45,Lesotho
46,Mauritius
47,Madagascar
48,Malawi
49,Mozambique
50,Namibia
51,Seychelles
52,South Africa
53,Swaziland
54,Zambia
55,Zimbabwe
56,Réunion
57,Kazakhstan
58,Afghanistan
59,Bangladesh
60,Bhutan
61,India
62,Kyrgyzstan
63,Maldives
64,Nepal
65,Pakistan
66,Sri Lanka
67,Tajikistan
68,Turkmenistan
69,Uzbekistan
70,China
71,Hong Kong
72,Japan
73,North Korea
74,South Korea
75,Macau
76,Mongolia
77,Taiwan
78,Brunei
79,Cambodia
80,Indonesia
81,Laos
82,Malaysia
83,Myanmar
84,Philippines
85,Singapore
86,Thailand
87,Timor-Leste
88,Vietnam
89,Anguilla
90,Antigua and Barbuda
91,Aruba
92,Bahamas
93,Barbados
94,Bermuda
95,British Virgin Islands
96,Cayman Islands
97,Cuba
98,Curaçao
99,Dominica
100,Dominican Republic
101,Grenada
102,Haiti
103,Jamaica
104,Montserrat
105,Puerto Rico
106,Saint Kitts and Nevis
107,Saint Lucia
108,Saint Vincent and the Grenadines
109,Trinidad and Tobago
110,Turks and Caicos Islands
111,United States Virgin Islands
112,Bonaire
113,Guadeloupe
114,Martinique
115,Saint Martin
116,Sint Maarten
117,Honduras
118,Costa Rica
119,El Salvador
120,Panama
121,Guatemala
122,Belize
123,Nicaragua
124,Austria
125,Belgium
126,Cyprus
127,Germany
128,Estonia
129,Spain
130,Finland
131,France
132,Greece
133,Ireland
134,Italy
135,Luxembourg
136,Malta
137,Netherlands
138,Portugal
139,Slovakia
140,Slovenia
141,Bulgaria
142,Denmark
143,Latvija
144,Lithuania
145,Poland
146,Romania
147,Sweden
148,Czech Republic
149,Hungary
150,Andorra
151,Albania
152,Belarus
153,Switzerland
154,Croatia
155,Serbia
156,Russia
157,Turkey
158,Ukraine
159,Macedonia
160,Norway
161,Iceland
162,Bosnia-Herzegovina
163,Liechtenstein
164,Montenegro
165,Moldova
166,San Marino
167,Georgia
168,Armenia
169,Azerbaijan
170,England
171,Scotland
172,Wales
173,Northern Ireland
174,Faroe Islands
175,Gibraltar
176,Israel
177,Bahrain
178,Iran
179,Iraq
180,Jordan
181,Kuwait
182,Lebanon
183,Oman
184,Palestine
185,Qatar
186,Saudi Arabia
187,Syria
188,United Arab Emirates
189,Yemen
190,Mexico
191,United States
192,Canada
193,Australia
194,Guam
195,Northern Mariana Islands
196,American Samoa
197,Cook Islands
198,Fiji
199,New Caledonia
200,New Zealand
201,Papua New Guinea
202,Samoa
203,Solomon Islands
204,Tahiti
205,Tonga
206,Vanuatu
207,Kiribati
208,Niue
209,Tuvalu
210,Argentina
211,Brazil
212,Chile
213,Paraguay
214,Uruguay
215,Colombia
216,Ecuador
217,Peru
218,Venezuela
219,Bolivia
220,Guyana
221,Suriname
222,French Guiana
